"filename", "language", "Python", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "JSON", "SVG", "TypeScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Slider\NodeSlider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, -2, -9, -85
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Stats\NodeStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -1, -20
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Switch\NodeSwitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, 0, -6, -62
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Node.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -135, 0, 0, 0, -17, -152
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\node.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -1, -22
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, -7, -67
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, 0, -6, -47
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\box.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -1, -9
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, -6, -60
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -83, 0, 0, 0, -10, -93
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -315, 0, 0, -2, -37, -354
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, -5, -33
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -193, 0, 0, -11, -19, -223
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -4, -22
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -5, -25
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -257, 0, 0, 0, -20, -277
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -5, -32
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, -7, -57
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, 0, -6, -59
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -172, 0, 0, 0, -14, -186
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -5, -29
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -71, 0, 0, -1, -7, -79
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -7, -43
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -102, 0, 0, 0, -13, -115
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, 0, -8, -67
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -4, -19
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, -8, -62
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\FlowContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -386, 0, 0, -5, -49, -440
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\Provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -3, -18
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\ZoomContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -54, 0, 0, 0, -10, -64
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\defaultNodes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -154, 0, 0, 0, -6, -160
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\useEdgesState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -4, -17
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\context\useNodesState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, -6, -35
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\json\edges.json", "JSON", 0, 0, 0, 0, 0, -107, 0, 0, 0, 0, 0, 0, -107
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\json\nodes.json", "JSON", 0, 0, 0, 0, 0, -733, 0, 0, 0, 0, 0, 0, -733
